🔒 Row ID,price id _txt,price title _txt,amount _nb,(TP) price note
qsQhNpkoRwCDRVpORXYeuA,1,AI for Business STARTER: Sans exercices | Without Promptor,199,"✨ Le choix de la formation ""Starter"" ne permet pas par la suite de passer en mode ""Master"" en ne s'acquittant que de la différence. 
👉 Pour atteindre un bon niveau de maîtrise, il est recommandé de pratique concrètement avec des exercices dédiés à vos cas d'usage."
vna85H-2TaCqS9ku-aBUMg,2,AI for Business MASTER: Avec exercices | With Promptor,249,"✨ Le choix de la formation ""Starter"" ne permet pas par la suite de passer en mode ""Master"" en ne s'acquittant que de la différence. 
👉 Pour atteindre un bon niveau de maîtrise, il est recommandé de pratique concrètement avec des exercices dédiés à vos cas d'usage."
