🔒 id tool _txt,id user _txt,rank _nb,tool title _txt,website _url,tool logo _img
gBIBaVlgTCSI-Ox3QcV9Uw,p8CmevxyTA6dOuNnm-CDuQ,1,MS- WORD,https://docs.google.com/document/d/1qNuEDI5QINxsHKEsAVegjpRw1T_Y6dAG-WdlZXq9XhM/edit,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4P7hyxb4SawKuAEkyr2d/pub/E2SAXjdWE1cLF8gHj9cs.png
PA3d3fjrQXKAficI9XzglA,p8CmevxyTA6dOuNnm-CDuQ,2,MS- PPT,https://docs.google.com/presentation/d/1BWe-8JTAT7gKPbvc0D9HTV026-zTWKKbJlzkw37WYy8/edit#slide=id.p,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4P7hyxb4SawKuAEkyr2d/pub/A0lyWPn367LhtwRpUkpn.png
71zfBicxTY-zKSXicLMZWQ,p8CmevxyTA6dOuNnm-CDuQ,3,G- SHEET,https://docs.google.com/spreadsheets/d/14VmfiiFHntuFdvwzO_4jdAboA2YcVmJl6JZ8A_Iid3Q/edit#gid=0,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4P7hyxb4SawKuAEkyr2d/pub/DzCBCaCOOHPZ5YAcxPlP.png
gcqrv08bTO-L7zxvfuchdQ,p8CmevxyTA6dOuNnm-CDuQ,4,G-MAIL,https://mail.google.com/mail/u/0/,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4P7hyxb4SawKuAEkyr2d/pub/ACKfw4gylyTMhffVgFqE.png
bw0.iNDrSQm8hQPrFipNkg,p8CmevxyTA6dOuNnm-CDuQ,5,NOTION,https://www.notion.so/aymard-ds/COCKPIT-AyS-6e6905d59b3248068e7063f2f6eae70a,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4P7hyxb4SawKuAEkyr2d/pub/yccxUQdXqr6xvXkCfOey.png
0ITz2PdITeWWi.I.pvVsaQ,p8CmevxyTA6dOuNnm-CDuQ,,Create Code (Grimoire),https://chat.openai.com/g/g-n7Rs0IK86-grimoire,
